fname,price,title,rname,raddress
Chicken and gochu jang salad,11,Breakfast,Lonesome Dove,290 Dovetail Street
Mizuna and pickled onion salad,30,Breakfast,Lonesome Dove,291 Dovetail Street
Flaxseed oil and garlic oil salad,10,Breakfast,Lonesome Dove,292 Dovetail Street
Peppermint and gammon salad,46,Breakfast,Lonesome Dove,293 Dovetail Street
Basil and tubetti salad,11,Breakfast,Lonesome Dove,294 Dovetail Street
Roast daikon,42,Breakfast,Lonesome Dove,295 Dovetail Street
Black pepper and chickpea curry,16,Breakfast,Lonesome Dove,296 Dovetail Street
"Grilled Chicken, Zucchini, and Quinoa Salad",40,Lunch,Lonesome Dove,290 Dovetail Street
Smoked Salmon Carbonara with Lemon and Dill,30,Lunch,Lonesome Dove,291 Dovetail Street
Chef Race: Cornmeal-Crusted Catfish with Tomato-Zucchini Rice and Radish Slaw,13,Lunch,Lonesome Dove,292 Dovetail Street
Bird's Nest Egg Salad,44,Lunch,Lonesome Dove,293 Dovetail Street
Chicken Cacciatore,40,Lunch,Lonesome Dove,294 Dovetail Street
Avocado BLT,41,Lunch,Lonesome Dove,295 Dovetail Street
Oven Baked Chicken Tacos – Our Newest Family Favorite,44,Lunch,Lonesome Dove,296 Dovetail Street
Fruit Salad with Grilled Chicken and Citrus Poppy Seed Dressing,2,Lunch,Lonesome Dove,297 Dovetail Street
Beef Curry,11,Lunch,Lonesome Dove,298 Dovetail Street
Thai Peanut Chicken,25,Dinner,Lonesome Dove,290 Dovetail Street
Snapper,2,Dinner,Lonesome Dove,291 Dovetail Street
Tofu Kabobs with Cherry Barbecue Sauce,36,Dinner,Lonesome Dove,292 Dovetail Street
Mediterranean Crab and Couscous Stuffed Mushrooms,2,Dinner,Lonesome Dove,293 Dovetail Street
POTATOES WITH CHEESE SAUCE (PAPAS CHORREADAS),14,Dinner,Lonesome Dove,294 Dovetail Street
Grilled chicken with chilli & sesame seeds,23,Dinner,Lonesome Dove,295 Dovetail Street
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,6,Dinner,Lonesome Dove,296 Dovetail Street
Homemade Creamy Chicken Noodle Soup,40,Dinner,Lonesome Dove,297 Dovetail Street
Faggots with onion gravy,22,Dinner,Lonesome Dove,298 Dovetail Street
Slow Cooker Chicken Tortellini Soup,10,Dinner,Lonesome Dove,299 Dovetail Street
Low Carb Peanut Butter Swirl Frozen Yogurt {No Sugar Added},29,Dinner,Lonesome Dove,300 Dovetail Street
Grilled Watermelon Salad,5,Weekday Lunch,Bobby’s,2 Bonner Point
Slow Cooker Coq au Vin,39,Weekday Lunch,Bobby’s,3 Bonner Point
Kale Pesto Avocado Grilled Cheese,29,Weekday Lunch,Bobby’s,4 Bonner Point
Homemade Creamy Chicken Noodle Soup,25,Daily,Bobby’s,2 Bonner Point
"Grilled Chicken, Zucchini, and Quinoa Salad",29,Daily,Bobby’s,3 Bonner Point
Bird's Nest Egg Salad,44,Daily,Bobby’s,4 Bonner Point
Dinner Tonight: Flattened Chicken with Tomato-Saffron Vinaigrette on Arugula,20,Daily,Bobby’s,5 Bonner Point
Cheesy Chicken and Broccoli Whole Wheat Pasta,11,Daily,Bobby’s,6 Bonner Point
Oven Baked Chicken Tacos – Our Newest Family Favorite,20,Daily,Bobby’s,7 Bonner Point
Chicken Fajita Burgers,6,Daily,Bobby’s,8 Bonner Point
Slow Cooker Chicken and Wild Rice Soup,6,Daily,Bobby’s,9 Bonner Point
Caprese Mac and Cheese,14,Daily,Bobby’s,10 Bonner Point
Roasted Garlic Macaroni and Cheese,9,Daily,Bobby’s,11 Bonner Point
Seared Short Rib Wraps from 'Family Table,42,Daily,Bobby’s,12 Bonner Point
Pan-Seared Cod in White Wine Tomato Basil Sauce,22,Daily,Bobby’s,13 Bonner Point
Chicken and Corn Chowder,43,Daily,Bobby’s,14 Bonner Point
Fruit Salad with Grilled Chicken and Citrus Poppy Seed Dressing,13,All Day,Melting Pot,0961 Huxley Junction
Bang-Bang Shrimp,7,All Day,Melting Pot,962 Huxley Junction
Low Carb Peanut Butter Swirl Frozen Yogurt {No Sugar Added},39,All Day,Melting Pot,963 Huxley Junction
Grilled chicken with chilli & sesame seeds,31,All Day,Melting Pot,964 Huxley Junction
Golden Beet & Beet Greens Pasta W/ Ricotta and Feta Cheese,9,All Day,Melting Pot,965 Huxley Junction
Calamari,17,All Day,Melting Pot,966 Huxley Junction
Instant Pot Turkey Chili,35,All Day,Melting Pot,967 Huxley Junction
Slow Cooker Meatball Subs,41,All Day,Melting Pot,968 Huxley Junction
Thai Peanut Chicken,34,All Day,Melting Pot,969 Huxley Junction
Pan-seared Salmon with Asparagus for #WeekdaySupper,11,All Day,Melting Pot,970 Huxley Junction
"Chicken Fajita Casserole: One Pot, Many Flavors",47,All Day,Melting Pot,971 Huxley Junction
Coconut Pound Cake,49,All Day,Melting Pot,972 Huxley Junction
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,40,All Day,Melting Pot,973 Huxley Junction
Roasted Summer Vegetable Mac + Cheese,40,All Day,Melting Pot,974 Huxley Junction
Pork Chops Romano in Lemon-Butter Sauce,44,All Day,Easy Eats,0 Darwin Circle
Creamy Green Chile Chicken Enchiladas,42,All Day,Easy Eats,1 Darwin Circle
Spinach Burrata Omelet with Avocado Salad,24,All Day,Easy Eats,2 Darwin Circle
Skinnified Pork and Bean Burrito,46,All Day,Easy Eats,3 Darwin Circle
Avocado BLT,8,All Day,Easy Eats,4 Darwin Circle
Skirt Steak With Arugula Salad,38,All Day,Easy Eats,5 Darwin Circle
Snapper,43,All Day,Easy Eats,6 Darwin Circle
Guinea fowl tagine,44,All Day,Easy Eats,7 Darwin Circle
Healthy Chicken Burgers with Spinach Basil Pesto & Mozzarella,27,All Day,Easy Eats,8 Darwin Circle
Stir-Fried Udon Noodles with Bok Choy,20,All Day,Easy Eats,9 Darwin Circle
Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes,25,All Day,Easy Eats,10 Darwin Circle
The TJ Hooker Pizza (Chipotle BBQ and Sweet Chili Pineapple + Jalapeño Pizza with Bacon),31,All Day,Easy Eats,0 Darwin Circle
"One Pot Garlic Butter Chicken, Green Beans & Potatoes",36,All Day,Easy Eats,1 Darwin Circle
Greek pasta salad,26,All Day,Easy Eats,2 Darwin Circle
Chipotle Chicken Grilled Cheese Sandwich + Emmi USA’s “Gourmelt” Grilled Cheese Contest,7,All Day,Easy Eats,3 Darwin Circle
Seared Scallops with a Pomegranate Drizzle,22,All Day,Easy Eats,4 Darwin Circle
"Minty carrot, pistachio & feta salad",2,All Day,Easy Eats,5 Darwin Circle
Salmon Sandwiches with Fries,39,All Day,Easy Eats,6 Darwin Circle
Chicken Cacciatore,5,All Day,Easy Eats,7 Darwin Circle
Super Mom Stir Fry,7,All Day,Easy Eats,8 Darwin Circle
Grilled Pork Chops,33,All Day,Easy Eats,9 Darwin Circle
"Minty carrot, pistachio & feta salad",45,All Day,Easy Eats,10 Darwin Circle
Sweet Thai Shrimp Curry with Peanut Noodles,15,All Day,Easy Eats,11 Darwin Circle
Stir-Fried Udon Noodles with Bok Choy,14,All Day,Easy Eats,12 Darwin Circle
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,42,All Day,Easy Eats,13 Darwin Circle
Chicken and Corn Chowder,16,All Day,Macro Bites,900 Mandrake Road
"Chicken Fajita Casserole: One Pot, Many Flavors",15,All Day,Macro Bites,901 Mandrake Road
Seared Short Rib Wraps from 'Family Table,2,All Day,Macro Bites,902 Mandrake Road
Roasted Summer Vegetable Mac + Cheese,29,All Day,Macro Bites,903 Mandrake Road
Creamy chicken & mango curry,25,All Day,Macro Bites,904 Mandrake Road
Cook the Book: Shepherd's Pie,11,All Day,Macro Bites,905 Mandrake Road
Slow Cooker Chicken and Wild Rice Soup,43,All Day,Macro Bites,906 Mandrake Road
Tofu Kabobs with Cherry Barbecue Sauce,47,All Day,Macro Bites,907 Mandrake Road
Grilled chicken with chilli & sesame seeds,19,All Day,Macro Bites,908 Mandrake Road
Roasted Garlic Macaroni and Cheese,17,All Day,Macro Bites,909 Mandrake Road
"Penne, Beef and Vegetable Casserole",1,All Day,Macro Bites,910 Mandrake Road
Oven Baked Chicken Tacos – Our Newest Family Favorite,33,All Day,Macro Bites,911 Mandrake Road
Chef Race: Cornmeal-Crusted Catfish with Tomato-Zucchini Rice and Radish Slaw,35,All Day,Macro Bites,912 Mandrake Road
"One Pot Garlic Butter Chicken, Green Beans & Potatoes",33,All Day,Macro Bites,913 Mandrake Road
Smoked Salmon Carbonara with Lemon and Dill,1,All Day,Macro Bites,914 Mandrake Road
Bang-Bang Shrimp,19,All Day,Macro Bites,915 Mandrake Road
Pan-seared Salmon with Asparagus for #WeekdaySupper,43,All Day,Macro Bites,916 Mandrake Road
Golden Beet & Beet Greens Pasta W/ Ricotta and Feta Cheese,19,All Day,Macro Bites,917 Mandrake Road
Slow Cooker Chicken Tortellini Soup,38,All Day,Grubber Hub,8 Vidon Plaza
Kale Pesto Avocado Grilled Cheese,23,All Day,Grubber Hub,9 Vidon Plaza
Faggots with onion gravy,26,All Day,Grubber Hub,10 Vidon Plaza
Mexican Chicken Taco Skillet,45,All Day,Grubber Hub,11 Vidon Plaza
Skinnified Pork and Bean Burrito,10,All Day,Grubber Hub,12 Vidon Plaza
Pan-Seared Cod in White Wine Tomato Basil Sauce,32,All Day,Grubber Hub,13 Vidon Plaza
Coconut Pound Cake,49,All Day,Grubber Hub,14 Vidon Plaza
Greek pasta salad,49,All Day,Grubber Hub,15 Vidon Plaza
Snapper,27,All Day,Grubber Hub,16 Vidon Plaza
Coconut & tamarind chicken curry,5,All Day,Grubber Hub,17 Vidon Plaza
Pork Tacos with Cilantro-Avocado Cream Sauce,43,All Day,Grubber Hub,18 Vidon Plaza
"Steak Sandwiches with Caramelized Peppers, Onions and Garlic",23,All Day,Grubber Hub,19 Vidon Plaza
Calamari,34,All Day,Grubber Hub,20 Vidon Plaza
Chicken Cacciatore,27,All Day,Grubber Hub,21 Vidon Plaza
Creamy Green Chile Chicken Enchiladas,35,All Day,Grubber Hub,22 Vidon Plaza
Dinner Tonight: Flattened Chicken with Tomato-Saffron Vinaigrette on Arugula,30,All Day,Grubber Hub,23 Vidon Plaza
Chipotle Chicken Grilled Cheese Sandwich + Emmi USA’s “Gourmelt” Grilled Cheese Contest,23,All Day,Cheerful Rhino,009 Truax Trail
Slow-Cooker Cincinnati Chili,6,All Day,Cheerful Rhino,10 Truax Trail
Thai Peanut Chicken,1,All Day,Cheerful Rhino,11 Truax Trail
Instant Pot Turkey Chili,12,All Day,Cheerful Rhino,12 Truax Trail
Slow Cooker Meatball Subs,1,All Day,Cheerful Rhino,13 Truax Trail
Contest-Winning Eggplant Parmesan,42,All Day,Cheerful Rhino,14 Truax Trail
Spinach Burrata Omelet with Avocado Salad,34,All Day,Cheerful Rhino,15 Truax Trail
Seared Scallops with a Pomegranate Drizzle,50,All Day,Cheerful Rhino,16 Truax Trail
Avocado BLT,28,All Day,Cheerful Rhino,17 Truax Trail
Caprese Mac and Cheese,17,All Day,Cheerful Rhino,18 Truax Trail
Low Carb Peanut Butter Swirl Frozen Yogurt {No Sugar Added},15,All Day,Home Cooking Experience,4 Clyde Gallagher Terrace
Caprese Zucchini Noodle Salad,41,All Day,Home Cooking Experience,5 Clyde Gallagher Terrace
Skirt Steak With Arugula Salad,31,All Day,Home Cooking Experience,6 Clyde Gallagher Terrace
Grilled Watermelon Salad,49,All Day,Home Cooking Experience,7 Clyde Gallagher Terrace
Homemade Creamy Chicken Noodle Soup,38,All Day,Home Cooking Experience,8 Clyde Gallagher Terrace
Beef Curry,44,All Day,Home Cooking Experience,9 Clyde Gallagher Terrace
The TJ Hooker Pizza (Chipotle BBQ and Sweet Chili Pineapple + Jalapeño Pizza with Bacon),32,All Day,Home Cooking Experience,10 Clyde Gallagher Terrace
Slow Cooker Coq au Vin,24,All Day,Home Cooking Experience,11 Clyde Gallagher Terrace
Spinach and Artichoke Chicken,29,All Day,Home Cooking Experience,12 Clyde Gallagher Terrace
Guinea fowl tagine,44,All Day,Home Cooking Experience,13 Clyde Gallagher Terrace
POTATOES WITH CHEESE SAUCE (PAPAS CHORREADAS),39,All Day,Home Cooking Experience,14 Clyde Gallagher Terrace
Chicken Fajita Burgers,2,All Day,Fare & Feed,471 Division Circle
Cheesy Chicken and Broccoli Whole Wheat Pasta,5,All Day,Fare & Feed,472 Division Circle
Healthy Chicken Burgers with Spinach Basil Pesto & Mozzarella,10,All Day,Fare & Feed,473 Division Circle
Fruit Salad with Grilled Chicken and Citrus Poppy Seed Dressing,10,All Day,Fare & Feed,474 Division Circle
Salmon Sandwiches with Fries,36,All Day,Fare & Feed,475 Division Circle
Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes,18,All Day,Fare & Feed,476 Division Circle
Super Mom Stir Fry,24,All Day,Fare & Feed,477 Division Circle
Pork Chops Romano in Lemon-Butter Sauce,15,All Day,Fare & Feed,478 Division Circle
Bird's Nest Egg Salad,31,All Day,Fare & Feed,479 Division Circle
Chicken Salad with Grapes and Walnuts,19,All Day,Fare & Feed,480 Division Circle
"Grilled Chicken, Zucchini, and Quinoa Salad",24,All Day,Fare & Feed,481 Division Circle
Mediterranean Crab and Couscous Stuffed Mushrooms,40,All Day,Fare & Feed,482 Division Circle
Coconut & tamarind chicken curry,38,All Day,Golden Palace,58637 Jackson Drive
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,1,All Day,Golden Palace,58638 Jackson Drive
Slow Cooker Chicken and Wild Rice Soup,11,All Day,Golden Palace,58639 Jackson Drive
Roasted Summer Vegetable Mac + Cheese,20,All Day,Golden Palace,58640 Jackson Drive
Dinner Tonight: Flattened Chicken with Tomato-Saffron Vinaigrette on Arugula,44,All Day,Golden Palace,58641 Jackson Drive
Fruit Salad with Grilled Chicken and Citrus Poppy Seed Dressing,20,All Day,Golden Palace,58642 Jackson Drive
"Penne, Beef and Vegetable Casserole",21,All Day,Golden Palace,58643 Jackson Drive
Chicken Cacciatore,25,All Day,Golden Palace,58644 Jackson Drive
Golden Beet & Beet Greens Pasta W/ Ricotta and Feta Cheese,29,All Day,Golden Palace,58645 Jackson Drive
